open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,sma_7d,sma_30d,sma_50d,sma_100d,return,volatility_20,volatility_50,volatility_100,volatility_14d,rsi_14,rsi_14d,MACD,Signal,MACD_Hist,volume_rel20,volume_rel20d,will_up
2025-09-07 04:00:00,202.86,203.09,202.3,203.08,30597.101,6201116.51134,16233,16569.155,3357442.89007,0.0,0.0,0.0,0.0,0.0010844917677215182,0.0034034991755205334,0.0069432803006439885,0.006199188439589811,0.0,56.679636835278814,0.0,1.0418469581549346,0.6469744072743151,0.39487255088061946,0.5080203369149302,0.0,False
2025-09-07 05:00:00,203.08,203.25,202.76,202.83,30143.584,6119149.35039,18305,14622.883,2968748.71391,0.0,0.0,0.0,0.0,-0.0012310419539097728,0.0032951496730249346,0.006936537850985533,0.006008816122466834,0.0,60.948396094839694,0.0,1.03846134884202,0.650582581850976,0.38787876699104407,0.5067650665671176,0.0,False
2025-09-07 06:00:00,202.83,202.95,202.23,202.28,38139.453,7724803.39191,18507,22266.313,4510094.11724,0.0,0.0,0.0,0.0,-0.0027116304294236837,0.003340796476673177,0.0069333222982099095,0.006013072421547089,0.0,54.483695652173864,0.0,1.0330407028840511,0.6541075414918338,0.37893316139221733,0.6480792608905163,0.0,True
2025-09-07 07:00:00,202.28,203.3,202.25,202.99,45735.613,9276064.76241,25599,26498.378,5374438.45163,0.0,0.0,0.0,0.0,0.0035099861578011815,0.003383549799958913,0.006941122420637768,0.0059998658666569555,0.0,71.51515151515137,0.0,1.0302934138557305,0.657574692389197,0.3727187214665335,0.8035848000582144,0.0,True
2025-09-07 08:00:00,202.99,203.94,202.99,203.54,69571.129,14155403.46656,37322,40646.115,8271045.22796,0.0,0.0,0.0,0.0,0.002709493078476788,0.0034260775229217628,0.006951285405965876,0.0060056566456910205,0.0,74.85795454545448,0.0,1.0295972798808464,0.6610034719974149,0.36859380788343143,1.18087678598711,0.0,False
2025-09-07 09:00:00,203.54,203.97,202.72,203.18,48085.486,9780032.55675,26988,26823.563,5456518.54394,0.0,0.0,0.0,0.0,-0.0017686941141789037,0.003457753104652376,0.006617934540192338,0.00598053295327626,0.0,74.54031117397446,0.0,1.0275460254035522,0.6643817443790384,0.3631642810245138,0.8350565531320218,0.0,True
2025-09-07 10:00:00,203.18,203.38,202.86,203.38,37438.117,7606100.74916,19076,19078.66,3875754.70789,0.0,0.0,0.0,0.0,0.0009843488532335076,0.0034406139950677035,0.006565213441412722,0.005976209501057918,0.0,70.87378640776683,0.0,1.0262368127480954,0.667716814133592,0.35851999861450345,0.6712883133350823,0.0,True
2025-09-07 11:00:00,203.38,203.99,203.13,203.96,48001.23,9766807.84182,19291,31396.741,6388451.62196,0.0,0.0,0.0,0.0,0.0028518045038843365,0.003332178396741035,0.006565799552456388,0.005965987992648573,0.0,73.80952380952394,0.0,1.0270759353542473,0.671028879766962,0.35604705558728533,0.8799445880827554,0.0,False
2025-09-07 12:00:00,203.96,204.0,203.35,203.77,54242.905,11046306.21534,23608,17395.412,3543064.55697,0.0,0.0,0.0,0.0,-0.0009315552069033561,0.0033396982324411287,0.006565086080609517,0.005966218180734965,0.0,75.72519083969465,0.0,1.0271769604469227,0.674311350556639,0.3528656098902837,1.0218488991630108,0.0,False
2025-09-07 13:00:00,203.77,203.79,203.08,203.43,41000.463,8341838.695,20694,15048.799,3061507.53687,0.0,0.0,0.0,0.0,-0.0016685478726015113,0.0028464090723965773,0.006551722907695398,0.005966510944529311,0.0,74.58646616541358,0.0,1.0259892770130534,0.677552621768219,0.34843665524483447,0.8495287768371153,0.0,True
